x,y,z
-8.559345092773438068e+01,3.369451370239258381e+01,-6.718919754028320312e+00
-8.549345092773437216e+01,3.369451370239258381e+01,-6.718870162963867188e+00
-8.539345092773437784e+01,3.369451370239258381e+01,-6.718946456909179688e+00
-8.529345092773436932e+01,3.369451370239258381e+01,-6.717512607574462891e+00
-8.519345092773437500e+01,3.369451370239258381e+01,-6.716321945190429688e+00
-8.509345092773438068e+01,3.369451370239258381e+01,-6.715274333953857422e+00
-8.499345092773437216e+01,3.369451370239258381e+01,-6.714129924774169922e+00
-8.489345092773437784e+01,3.369451370239258381e+01,-6.712912559509277344e+00
-8.479345092773436932e+01,3.369451370239258381e+01,-6.711832523345947266e+00
-8.469345092773437500e+01,3.369451370239258381e+01,-6.710647106170654297e+00
-8.459345092773438068e+01,3.369451370239258381e+01,-6.709693908691406250e+00
-8.449345092773437216e+01,3.369451370239258381e+01,-6.709527969360351562e+00
-8.439345092773437784e+01,3.369451370239258381e+01,-6.707906723022460938e+00
-8.429345092773436932e+01,3.369451370239258381e+01,-6.707313060760498047e+00
-8.419345092773437500e+01,3.369451370239258381e+01,-6.706735134124755859e+00
-8.409345092773438068e+01,3.369451370239258381e+01,-6.706051349639892578e+00
-8.399345092773437216e+01,3.369451370239258381e+01,-6.702190876007080078e+00
